train/actor_loss,train/learning_rate,train/ent_coef,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,time/episodes,train/critic_loss,train/ent_coef_loss,train/n_updates
-10.180057525634766,0.00075,0.0014532480854541063,500.0,3.2597788499999996,1454,308000,211,610,0.01982288621366024,15.337718963623047,21764
-10.154460906982422,0.00075,0.0014934382634237409,500.0,3.3619945799999997,1488,315000,211,620,0.03253643959760666,22.166015625,22264
,,,500.0,3.3619945799999997,1488,315000,211,630,,,
-9.587081909179688,0.00075,0.0015429287450388074,500.0,2.7482503400000007,1521,322000,211,640,0.013076385483145714,0.6370722651481628,22764
-9.530637741088867,0.00075,0.0014408330898731947,500.0,2.6124654799999996,1555,329000,211,650,0.020020440220832825,-11.21519947052002,23264
-9.168683052062988,0.00075,0.0012527555227279663,500.0,2.7323532800000003,1588,336000,211,660,0.012825628742575645,-7.176042556762695,23764
,,,500.0,2.7323532800000003,1588,336000,211,670,,,
-8.870100975036621,0.00075,0.0013213494094088674,500.0,1.96710853,1621,343000,211,680,0.007335084490478039,1.5699070692062378,24264
-8.952241897583008,0.00075,0.0014187967171892524,500.0,2.4926023699999997,1655,350000,211,690,0.00691563542932272,-7.4092230796813965,24764
,,,500.0,2.4926023699999997,1655,350000,211,700,,,
-8.620399475097656,0.00075,0.001424374058842659,500.0,2.8418349000000003,1689,357000,211,710,0.005320153199136257,-0.33801865577697754,25264
-8.494705200195312,0.00075,0.00135614478494972,500.0,4.01323666,1722,364000,211,720,0.012144368141889572,-6.6780242919921875,25764
-8.283836364746094,0.00075,0.001350074540823698,500.0,4.32508485,1756,371000,211,730,0.005288550164550543,1.6936213970184326,26264
,,,500.0,4.32508485,1756,371000,211,740,,,
-8.259539604187012,0.00075,0.0014602367300540209,500.0,5.923455039999999,1789,378000,211,750,0.006980592850595713,-8.466987609863281,26764
-8.21743106842041,0.00075,0.0015982459299266338,500.0,9.668479330000002,1823,385000,211,760,0.007773743476718664,5.391956329345703,27264
,,,500.0,9.668479330000002,1823,385000,211,770,,,
-7.949863433837891,0.00075,0.0016754762036725879,500.0,10.43574836,1856,392000,211,780,0.005462173372507095,-3.0973877906799316,27764
-7.828187942504883,0.00075,0.0017212292877957225,500.0,10.290312920000003,1889,399000,211,790,0.0078064980916678905,-0.20216619968414307,28264
-7.596010208129883,0.00075,0.0018636244349181652,500.0,10.45993181,1923,406000,211,800,0.025581281632184982,5.32664680480957,28764
,,,500.0,10.45993181,1923,406000,211,810,,,
-7.4747467041015625,0.00075,0.0016538731288164854,500.0,9.721601240000002,1956,413000,211,820,0.011401384137570858,-3.6298842430114746,29264
-7.401511192321777,0.00075,0.001727260067127645,500.0,9.577638349999999,1989,420000,211,830,0.008297127671539783,1.5583710670471191,29764
,,,500.0,9.577638349999999,1989,420000,211,840,,,
-7.228934288024902,0.00075,0.0017504143761470914,500.0,8.771199130000001,2022,427000,211,850,0.0065764328464865685,-5.651488304138184,30264
-7.053099632263184,0.00075,0.001679615001194179,500.0,6.001663,2055,434000,211,860,0.013774394057691097,-4.130490779876709,30764
-6.973506450653076,0.00075,0.0014076869701966643,500.0,6.28674564,2089,441000,211,870,0.0080398079007864,1.5746270418167114,31264
,,,500.0,6.28674564,2089,441000,211,880,,,
-6.893217086791992,0.00075,0.0014358832268044353,500.0,9.66280639,2123,448000,211,890,0.007449327502399683,-5.973715782165527,31764
-6.720877170562744,0.00075,0.0014719759346917272,500.0,11.860266639999999,2156,455000,210,900,0.016397448256611824,-2.907804012298584,32264
,,,500.0,11.860266639999999,2156,455000,210,910,,,
-6.559700012207031,0.00075,0.0014937352389097214,500.0,14.02043672,2190,462000,210,920,0.01556476391851902,-0.16470825672149658,32764
-6.565846920013428,0.00075,0.0017170568462461233,500.0,16.433496220000002,2224,469000,210,930,0.010137807577848434,10.206633567810059,33264
-6.411576271057129,0.00075,0.0015019415877759457,500.0,18.113097789999998,2258,476000,210,940,0.01050112210214138,-1.560093879699707,33764
,,,500.0,18.113097789999998,2258,476000,210,950,,,
-6.356173992156982,0.00075,0.0014990533236414194,500.0,18.92262658,2292,483000,210,960,0.03558474779129028,-5.60818338394165,34264
-6.27039909362793,0.00075,0.0014254612615332007,500.0,20.17411703,2326,490000,210,970,0.033114850521087646,3.945026397705078,34764
,,,500.0,20.17411703,2326,490000,210,980,,,
-6.077365398406982,0.00075,0.0015814030775800347,500.0,18.67193121,2360,497000,210,990,0.013955546543002129,-2.010308265686035,35264
-6.460868835449219,0.00075,0.0017036402132362127,500.0,17.38150486,2394,504000,210,1000,0.029178999364376068,7.413451671600342,35764
-6.074932098388672,0.00075,0.0018034476088359952,500.0,16.00500329,2428,511000,210,1010,0.05975916236639023,9.910979270935059,36264
