time/total_timesteps,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/n_updates,time/episodes,train/ent_coef,rollout/ep_len_mean
917000,-9.129782676696777,0.1340051144361496,59.92918595000001,212,4312,0.00075,-2.456124782562256,65264,1830,0.004591748584061861,500.0
924000,-9.754416465759277,0.24288348853588104,79.95024470000001,212,4344,0.00075,-1.9316554069519043,65764,1840,0.004676114302128553,500.0
931000,-10.539506912231445,0.2976410686969757,100.40034936,212,4378,0.00075,5.702878952026367,66264,1850,0.004893686156719923,500.0
931000,,,100.40034936,212,4378,,,,1860,,500.0
938000,-10.718746185302734,0.41233211755752563,125.38997171000003,212,4411,0.00075,2.9398045539855957,66764,1870,0.005592459812760353,500.0
945000,-13.223092079162598,0.6624578237533569,153.01849913,212,4444,0.00075,3.301034927368164,67264,1880,0.005774076096713543,500.0
945000,,,153.01849913,212,4444,,,,1890,,500.0
952000,-12.25963020324707,0.7041744589805603,176.49236238000006,212,4478,0.00075,-1.3552199602127075,67764,1900,0.006123014260083437,500.0
959000,-11.450644493103027,0.15520364046096802,175.25169739999993,212,4510,0.00075,8.339879989624023,68264,1910,0.0059651536867022514,500.0
966000,-11.479898452758789,0.3725000023841858,187.69026306000004,212,4543,0.00075,-1.8944127559661865,68764,1920,0.00593232037499547,500.0
966000,,,187.69026306000004,212,4543,,,,1930,,500.0
973000,-13.900726318359375,0.44265711307525635,180.30187338000005,212,4576,0.00075,0.2109851837158203,69264,1940,0.006054433062672615,500.0
980000,-12.256654739379883,0.2546658515930176,179.06839825999998,212,4608,0.00075,-3.456916332244873,69764,1950,0.006517377216368914,500.0
980000,,,179.06839825999998,212,4608,,,,1960,,500.0
987000,-12.933648109436035,0.17501524090766907,176.82089946999997,212,4640,0.00075,2.5984737873077393,70264,1970,0.006846897304058075,500.0
994000,-14.477080345153809,0.45221954584121704,157.67610008,212,4673,0.00075,7.347438812255859,70764,1980,0.006719824392348528,500.0
