train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef_loss,rollout/ep_len_mean,time/episodes,time/fps,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss
-17.97629737854004,266.60071639000006,4036,861000,-3.8996665477752686,500.0,1710,213,0.00075,61264,0.00817009899765253,0.6404439210891724
,266.60071639000006,4036,861000,,500.0,1720,213,,,,
-17.4422664642334,287.87927311999994,4069,868000,-2.694798707962036,500.0,1730,213,0.00075,61764,0.009062265045940876,37.82653045654297
-22.324235916137695,282.39951548,4100,875000,6.500495910644531,500.0,1740,213,0.00075,62264,0.007934401743113995,0.6915515661239624
,282.39951548,4100,875000,,500.0,1750,213,,,,
-18.033802032470703,283.47104777,4132,882000,1.430305004119873,500.0,1760,213,0.00075,62764,0.007772340439260006,0.4443318247795105
-19.850727081298828,314.68478983,4163,889000,-1.4308662414550781,500.0,1770,213,0.00075,63264,0.008225775323808193,0.8152551054954529
-19.518768310546875,349.41568197,4194,896000,5.557131290435791,500.0,1780,213,0.00075,63764,0.008200440555810928,0.8752269148826599
,349.41568197,4194,896000,,500.0,1790,213,,,,
-24.72005844116211,349.76451947000004,4225,903000,3.95656418800354,500.0,1800,213,0.00075,64264,0.008858384564518929,19.035648345947266
-25.840377807617188,368.23271216,4256,910000,0.6514977216720581,500.0,1810,213,0.00075,64764,0.00868019089102745,0.5676705837249756
,368.23271216,4256,910000,,500.0,1820,213,,,,
-19.229698181152344,365.3036394800001,4287,917000,-3.4814605712890625,500.0,1830,213,0.00075,65264,0.00811465922743082,1.18368661403656
-27.14358901977539,377.46236132999996,4318,924000,5.030587196350098,500.0,1840,213,0.00075,65764,0.009524242021143436,0.7858940362930298
-21.845531463623047,345.59128949999996,4350,931000,1.0579142570495605,500.0,1850,213,0.00075,66264,0.008582726120948792,1.0545300245285034
,345.59128949999996,4350,931000,,500.0,1860,213,,,,
-28.013187408447266,319.25242439000004,4383,938000,0.2675877809524536,500.0,1870,213,0.00075,66764,0.00907593872398138,0.641390323638916
-25.311182022094727,287.14901495000004,4415,945000,9.499676704406738,500.0,1880,214,0.00075,67264,0.009761146269738674,0.9949564933776855
,287.14901495000004,4415,945000,,500.0,1890,214,,,,
-26.144237518310547,263.7132133,4447,952000,-0.042171478271484375,500.0,1900,214,0.00075,67764,0.009145176969468594,1.3683617115020752
-26.412696838378906,240.15346467999998,4480,959000,0.5435874462127686,500.0,1910,214,0.00075,68264,0.009094481356441975,3.171450614929199
-24.804800033569336,238.08567722,4512,966000,-2.7902469635009766,500.0,1920,214,0.00075,68764,0.009402402676641941,1.443729281425476
,238.08567722,4512,966000,,500.0,1930,214,,,,
-26.830846786499023,236.55284053999995,4543,973000,-3.2240822315216064,500.0,1940,214,0.00075,69264,0.009636800736188889,0.8673231601715088
-29.11980438232422,253.15510257000003,4575,980000,-1.1613930463790894,500.0,1950,214,0.00075,69764,0.01039885450154543,0.8537691831588745
,253.15510257000003,4575,980000,,500.0,1960,214,,,,
-27.81267738342285,268.25839461,4607,987000,2.2986903190612793,500.0,1970,214,0.00075,70264,0.009624786674976349,2.1936066150665283
-32.09021759033203,302.94527673,4639,994000,1.4791852235794067,500.0,1980,214,0.00075,70764,0.009506632573902607,2.81227970123291
