train/learning_rate,train/actor_loss,rollout/ep_rew_mean,time/fps,train/n_updates,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,time/episodes,train/ent_coef,rollout/ep_len_mean,train/critic_loss
0.00075,-5.07997465133667,2.61,213,38764,546000,2.8480896949768066,2559,1080,0.0010283365845680237,500.0,0.0026919071096926928
,,2.61,213,,546000,,2559,1090,,500.0,
0.00075,-5.190731048583984,2.61,213,39264,553000,4.920097351074219,2593,1100,0.0008605260518379509,500.0,0.0075569069012999535
0.00075,-5.09725284576416,2.61,213,39764,560000,-4.796700477600098,2626,1110,0.0009370878688059747,500.0,0.2587021589279175
,,2.61,213,,560000,,2626,1120,,500.0,
0.00075,-4.962946891784668,0.0,213,40264,567000,-2.008236885070801,2660,1130,0.0009068623767234385,500.0,0.1436791718006134
0.00075,-4.744534969329834,0.0,213,40764,574000,-1.8091694116592407,2694,1140,0.0007202317356131971,500.0,0.003916474524885416
0.00075,-4.773614883422852,3.37,212,41264,581000,-4.6402153968811035,2728,1150,0.0008234698907472193,500.0,0.004866065923124552
,,3.37,212,,581000,,2728,1160,,500.0,
0.00075,-4.732104301452637,3.37,212,41764,588000,2.068101644515991,2761,1170,0.0009965227218344808,500.0,0.20301368832588196
0.00075,-4.5815534591674805,3.37,212,42264,595000,1.8188982009887695,2795,1180,0.0009092065156437457,500.0,0.011313957162201405
,,3.37,212,,595000,,2795,1190,,500.0,
0.00075,-4.541389465332031,3.37,212,42764,602000,-3.771291732788086,2829,1200,0.0010165005223825574,500.0,0.03143272548913956
0.00075,-4.5440545082092285,3.37,212,43264,609000,0.7126016616821289,2862,1210,0.0008827279089018703,500.0,0.09936372935771942
0.00075,-4.3311662673950195,3.37,212,43764,616000,11.29568099975586,2895,1220,0.0008918807143345475,500.0,0.007449244149029255
,,3.37,212,,616000,,2895,1230,,500.0,
0.00075,-4.3903021812438965,3.37,212,44264,623000,-1.1458081007003784,2927,1240,0.0007484891102649271,500.0,0.0074307965114712715
0.00075,-4.31147575378418,2.23,212,44764,630000,-0.7503883838653564,2959,1250,0.0008426257991231978,500.0,0.010919488966464996
,,2.23,212,,630000,,2959,1260,,500.0,
0.00075,-4.25771951675415,0.0,212,45264,637000,-7.119364261627197,2991,1270,0.0007569384179078043,500.0,0.011748086661100388
0.00075,-4.21425724029541,0.0,212,45764,644000,3.070805072784424,3024,1280,0.0008312072604894638,500.0,0.008027538657188416
0.00075,-4.174198150634766,0.0,212,46264,651000,-7.3657684326171875,3057,1290,0.0008745918166823685,500.0,0.011202551424503326
,,0.0,212,,651000,,3057,1300,,500.0,
0.00075,-3.9997668266296387,0.0,212,46764,658000,2.672372341156006,3090,1310,0.000868401606567204,500.0,0.12722495198249817
0.00075,-4.185172080993652,2.19,212,47264,665000,1.7611277103424072,3123,1320,0.0008010412566363811,500.0,0.004601364489644766
,,2.19,212,,665000,,3123,1330,,500.0,
0.00075,-3.801630973815918,3.68,212,47764,672000,8.929027557373047,3156,1340,0.0008126178290694952,500.0,0.007012648042291403
0.00075,-3.7521913051605225,3.68,212,48264,679000,-3.402491569519043,3189,1350,0.0008212586981244385,500.0,0.0068176849745213985
0.00075,-3.9913291931152344,4.74,212,48764,686000,-0.9083013534545898,3221,1360,0.0009383783908560872,500.0,0.01192728616297245
,,4.74,212,,686000,,3221,1370,,500.0,
0.00075,-3.76375675201416,4.74,212,49264,693000,-6.630952835083008,3253,1380,0.0009385215817019343,500.0,0.13533414900302887
0.00075,-3.865426540374756,4.74,212,49764,700000,4.974682807922363,3286,1390,0.0009185165981762111,500.0,0.1037263423204422
,,4.74,212,,700000,,3286,1400,,500.0,
0.00075,-3.918173313140869,4.74,213,50264,707000,-6.034975051879883,3318,1410,0.0009470743825659156,500.0,0.011350862681865692
0.00075,-3.9267733097076416,2.55,213,50764,714000,-1.4992115497589111,3350,1420,0.0009288519504480064,500.0,0.1554037481546402
0.00075,-3.7413883209228516,1.06,213,51264,721000,-10.108424186706543,3382,1430,0.0009584575309418142,500.0,0.0054286471568048
,,1.06,213,,721000,,3382,1440,,500.0,
0.00075,-3.720951557159424,1.06,213,51764,728000,0.3410986661911011,3414,1450,0.0009568196255713701,500.0,0.009619874879717827
0.00075,-3.8231735229492188,1.06,213,52264,735000,-9.005996704101562,3446,1460,0.0010300370631739497,500.0,0.010128229856491089
,,1.06,213,,735000,,3446,1470,,500.0,
0.00075,-3.9548990726470947,0.0,213,52764,742000,-0.6191650032997131,3478,1480,0.001079619862139225,500.0,0.016285154968500137
0.00075,-4.293769836425781,0.0,213,53264,749000,-3.424287796020508,3509,1490,0.0011261883191764355,500.0,0.030912606045603752
0.00075,-3.9602153301239014,0.0,213,53764,756000,5.283491134643555,3541,1500,0.0011182775488123298,500.0,0.0683589056134224
,,0.0,213,,756000,,3541,1510,,500.0,
0.00075,-4.115299701690674,0.0,213,54264,763000,-6.909566402435303,3573,1520,0.001166749163530767,500.0,0.025042664259672165
0.00075,-4.385550498962402,0.0,213,54764,770000,7.309319972991943,3604,1530,0.0011972085339948535,500.0,0.031373292207717896
,,0.0,213,,770000,,3604,1540,,500.0,
0.00075,-4.729429244995117,0.0,213,55264,777000,3.0771477222442627,3636,1550,0.0012619014596566558,500.0,0.11475923657417297
0.00075,-4.71494197845459,0.0,213,55764,784000,-1.231994390487671,3667,1560,0.0012798069510608912,500.0,0.026022635400295258
0.00075,-4.979670524597168,0.0,213,56264,791000,1.78665292263031,3698,1570,0.0016368645010516047,500.0,0.037699148058891296
,,0.0,213,,791000,,3698,1580,,500.0,
0.00075,-5.052146911621094,0.0,213,56764,798000,-2.507843494415283,3730,1590,0.0016523170052096248,500.0,0.04388583078980446
0.00075,-5.221173286437988,0.0,213,57264,805000,2.6906700134277344,3762,1600,0.001747368834912777,500.0,0.02155950292944908
,,0.0,213,,805000,,3762,1610,,500.0,
0.00075,-4.816704750061035,0.0,214,57764,812000,-1.066786289215088,3794,1620,0.0017608619527891278,500.0,0.03387145325541496
0.00075,-5.337920665740967,0.0,214,58264,819000,1.5920696258544922,3826,1630,0.0017812938895076513,500.0,0.03397391736507416
0.00075,-5.339564800262451,0.0,214,58764,826000,-9.611817359924316,3856,1640,0.0017559611005708575,500.0,0.073542520403862
,,0.0,214,,826000,,3856,1650,,500.0,
0.00075,-4.969337463378906,0.0,214,59264,833000,5.808021545410156,3888,1660,0.0017844735411927104,500.0,0.04976588487625122
0.00075,-4.892765522003174,0.0,214,59764,840000,0.817060112953186,3919,1670,0.0019079819321632385,500.0,0.24810564517974854
,,0.0,214,,840000,,3919,1680,,500.0,
0.00075,-5.667362213134766,0.0,214,60264,847000,-5.456502914428711,3950,1690,0.0020003498066216707,500.0,0.08010825514793396
0.00075,-6.753603935241699,0.0,214,60764,854000,5.26904821395874,3982,1700,0.0019062749342992902,500.0,0.0738501250743866
0.00075,-6.189089298248291,0.0,214,61264,861000,9.31602668762207,4013,1710,0.002196513582020998,500.0,0.11127351224422455
,,0.0,214,,861000,,4013,1720,,500.0,
0.00075,-6.268220901489258,0.0,214,61764,868000,8.351648330688477,4044,1730,0.002155299996957183,500.0,0.05146683380007744
0.00075,-6.260697364807129,0.0,214,62264,875000,2.2604384422302246,4075,1740,0.002459802431985736,500.0,0.05423422157764435
,,0.0,214,,875000,,4075,1750,,500.0,
0.00075,-6.1201677322387695,0.0,214,62764,882000,1.1492905616760254,4107,1760,0.0022845615167170763,500.0,0.079753577709198
0.00075,-6.181867599487305,0.0,214,63264,889000,-7.56947135925293,4139,1770,0.0023484262637794018,500.0,0.035331904888153076
0.00075,-5.540197372436523,0.0,214,63764,896000,-4.553569793701172,4171,1780,0.0023441924713552,500.0,0.24945113062858582
,,0.0,214,,896000,,4171,1790,,500.0,
0.00075,-5.665271282196045,0.0,214,64264,903000,-2.9636356830596924,4203,1800,0.0023393004667013884,500.0,0.07356413453817368
0.00075,-7.2479424476623535,0.0,214,64764,910000,-1.7644753456115723,4236,1810,0.002516763051971793,500.0,0.06210595741868019
,,0.0,214,,910000,,4236,1820,,500.0,
0.00075,-6.75093936920166,0.0,214,65264,917000,-3.02329421043396,4268,1830,0.0025947103276848793,500.0,0.05134482681751251
0.00075,-6.514286994934082,0.0,214,65764,924000,-0.5414553284645081,4302,1840,0.0027892321813851595,500.0,0.0519765168428421
0.00075,-7.7956109046936035,0.0,214,66264,931000,-3.1072235107421875,4335,1850,0.00263383612036705,500.0,1.4508411884307861
,,0.0,214,,931000,,4335,1860,,500.0,
0.00075,-7.1169352531433105,0.0,214,66764,938000,2.43107271194458,4368,1870,0.0026075264904648066,500.0,0.0377766415476799
0.00075,-7.425961971282959,0.0,214,67264,945000,0.4582982063293457,4402,1880,0.0028960928320884705,500.0,0.04310521110892296
,,0.0,214,,945000,,4402,1890,,500.0,
0.00075,-7.288514614105225,0.0,214,67764,952000,-1.7688586711883545,4435,1900,0.0026054109912365675,500.0,0.32619473338127136
0.00075,-7.43263053894043,0.0,214,68264,959000,-6.885061264038086,4469,1910,0.002764910226687789,500.0,0.04058653861284256
0.00075,-7.244217872619629,0.0,214,68764,966000,3.1138224601745605,4502,1920,0.0028012196999043226,500.0,0.04262212663888931
,,0.0,214,,966000,,4502,1930,,500.0,
0.00075,-7.572954177856445,0.0,214,69264,973000,-11.049934387207031,4535,1940,0.002539795357733965,500.0,0.04950954020023346
0.00075,-7.776803016662598,0.0,214,69764,980000,-2.285269260406494,4568,1950,0.002509585814550519,500.0,0.38610243797302246
,,0.0,214,,980000,,4568,1960,,500.0,
0.00075,-7.816740036010742,0.0,214,70264,987000,2.9027774333953857,4601,1970,0.002738896058872342,500.0,1.6405093669891357
0.00075,-8.661481857299805,0.0,214,70764,994000,3.109154224395752,4635,1980,0.0026764727663248777,500.0,0.060130029916763306
