time/episodes,time/time_elapsed,train/learning_rate,train/n_updates,rollout/ep_len_mean,train/actor_loss,time/fps,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss
668,1399,,,500.0,,239,,,147.59,335000,
672,1422,0.00075,33669,500.0,-18.035133361816406,239,0.0067420159466564655,0.3806358277797699,173.7,340000,0.7708483338356018
676,1422,,,500.0,,239,,,173.7,340000,
680,1422,,,500.0,,239,,,173.7,340000,
684,1443,0.00075,34169,500.0,-17.380489349365234,239,0.00746585987508297,0.25236043334007263,177.25,345000,-1.1227951049804688
688,1443,,,500.0,,239,,,177.25,345000,
692,1464,0.00075,34669,500.0,-18.00074005126953,239,0.007705701980739832,1.3753466606140137,150.74,350000,4.953656196594238
696,1464,,,500.0,,239,,,150.74,350000,
700,1464,,,500.0,,239,,,150.74,350000,
704,1484,0.00075,35169,500.0,-15.672730445861816,239,0.008044468238949776,1.3870898485183716,138.33,355000,-5.3018341064453125
708,1484,,,500.0,,239,,,138.33,355000,
712,1505,0.00075,35669,500.0,-17.299169540405273,239,0.008030238561332226,0.22864602506160736,127.34,360000,2.75419545173645
716,1505,,,500.0,,239,,,127.34,360000,
720,1505,,,500.0,,239,,,127.34,360000,
724,1527,0.00075,36169,500.0,-18.867353439331055,239,0.007860809564590454,2.4581658840179443,143.44,365000,0.424846887588501
728,1527,,,500.0,,239,,,143.44,365000,
732,1549,0.00075,36669,500.0,-19.32352066040039,238,0.009583917446434498,1.2258259057998657,163.35,370000,-5.061623573303223
736,1549,,,500.0,,238,,,163.35,370000,
740,1549,,,500.0,,238,,,163.35,370000,
744,1569,0.00075,37169,500.0,-19.63715171813965,238,0.009151354432106018,2.798832654953003,162.08,375000,4.460696697235107
748,1569,,,500.0,,238,,,162.08,375000,
752,1591,0.00075,37669,500.0,-20.08065414428711,238,0.008783691562712193,1.3499131202697754,163.22,380000,-0.4458330273628235
756,1591,,,500.0,,238,,,163.22,380000,
760,1591,,,500.0,,238,,,163.22,380000,
764,1612,0.00075,38169,500.0,-18.532669067382812,238,0.008858663029968739,0.7909247875213623,154.59,385000,-1.106555700302124
768,1612,,,500.0,,238,,,154.59,385000,
772,1633,0.00075,38669,500.0,-21.697317123413086,238,0.008586074225604534,0.43368613719940186,137.55,390000,-4.544274806976318
776,1633,,,500.0,,238,,,137.55,390000,
780,1633,,,500.0,,238,,,137.55,390000,
784,1654,0.00075,39169,500.0,-18.961261749267578,238,0.00871396902948618,1.3359023332595825,158.86,395000,2.234966516494751
788,1654,,,500.0,,238,,,158.86,395000,
792,1676,0.00075,39669,500.0,-23.965435028076172,238,0.008963992819190025,0.7447145581245422,153.0,400000,-3.3737406730651855
796,1676,,,500.0,,238,,,153.0,400000,
800,1676,,,500.0,,238,,,153.0,400000,
804,1697,0.00075,40169,500.0,-22.563383102416992,238,0.009321765974164009,1.0157101154327393,168.2,405000,4.1120100021362305
808,1697,,,500.0,,238,,,168.2,405000,
812,1719,0.00075,40669,500.0,-22.754356384277344,238,0.009907301515340805,0.440666139125824,185.66,410000,-4.259542465209961
816,1719,,,500.0,,238,,,185.66,410000,
820,1719,,,500.0,,238,,,185.66,410000,
824,1740,0.00075,41169,500.0,-21.935426712036133,238,0.010126689448952675,1.4221327304840088,185.89,415000,-3.7753167152404785
828,1740,,,500.0,,238,,,185.89,415000,
832,1761,0.00075,41669,500.0,-20.581180572509766,238,0.00967131182551384,1.2802114486694336,161.31,420000,-2.468268871307373
836,1761,,,500.0,,238,,,161.31,420000,
840,1761,,,500.0,,238,,,161.31,420000,
844,1782,0.00075,42169,500.0,-24.399002075195312,238,0.009426702745258808,1.1085141897201538,177.59,425000,2.497710943222046
848,1782,,,500.0,,238,,,177.59,425000,
852,1803,0.00075,42669,500.0,-24.50189208984375,238,0.010755262337625027,1.3738584518432617,177.06,430000,1.130854845046997
856,1803,,,500.0,,238,,,177.06,430000,
860,1803,,,500.0,,238,,,177.06,430000,
864,1824,0.00075,43169,500.0,-24.317176818847656,238,0.010960208252072334,2.038332939147949,178.09,435000,2.3537278175354004
868,1824,,,500.0,,238,,,178.09,435000,
872,1845,0.00075,43669,500.0,-23.88136100769043,238,0.009695073589682579,1.0018632411956787,185.1,440000,-4.356727123260498
876,1845,,,500.0,,238,,,185.1,440000,
880,1845,,,500.0,,238,,,185.1,440000,
