train/ent_coef,train/actor_loss,time/total_timesteps,time/episodes,train/n_updates,time/fps,train/learning_rate,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/time_elapsed
0.002464640885591507,-6.8138203620910645,476000,940,33764,222,0.00075,500.0,0.01313021406531334,5.367111319999999,-4.125877380371094,2136
,,476000,950,,222,,500.0,,5.367111319999999,,2136
0.002280398504808545,-6.315457344055176,483000,960,34264,222,0.00075,500.0,0.013420306146144867,5.610856159999998,3.8756930828094482,2167
0.0026905816048383713,-6.071637153625488,490000,970,34764,222,0.00075,500.0,0.027157146483659744,3.24715687,-4.219699859619141,2199
,,490000,980,,222,,500.0,,3.24715687,,2199
0.0027761170640587807,-6.856672763824463,497000,990,35264,222,0.00075,500.0,0.1219819039106369,7.933950570000002,-10.736190795898438,2229
0.0026205608155578375,-6.167918682098389,504000,1000,35764,222,0.00075,500.0,0.6238098740577698,10.625340229999999,102.06803131103516,2261
0.0028804915491491556,-6.1912007331848145,511000,1010,36264,222,0.00075,500.0,0.39029043912887573,10.825015220000003,-8.926180839538574,2293
,,511000,1020,,222,,500.0,,10.825015220000003,,2293
0.0029879475478082895,-6.690497875213623,518000,1030,36764,222,0.00075,500.0,0.24267107248306274,11.809583720000001,36.987857818603516,2324
0.003054617205634713,-5.998604774475098,525000,1040,37264,222,0.00075,500.0,0.06287141144275665,16.9980334,2.0079479217529297,2356
,,525000,1050,,222,,500.0,,16.9980334,,2356
0.002697412157431245,-6.53101921081543,532000,1060,37764,222,0.00075,500.0,0.997506320476532,17.57848951,-6.223134994506836,2388
0.002868102630600333,-5.713327407836914,539000,1070,38264,222,0.00075,500.0,0.05740839242935181,22.169850139999994,2.5540249347686768,2420
0.002998536918312311,-5.823233127593994,546000,1080,38764,222,0.00075,500.0,0.25715506076812744,24.055285420000004,-11.989706039428711,2451
,,546000,1090,,222,,500.0,,24.055285420000004,,2451
0.003193455748260021,-6.178511619567871,553000,1100,39264,222,0.00075,500.0,0.038449134677648544,20.99390773,0.4512193202972412,2483
0.0033943168818950653,-5.700528144836426,560000,1110,39764,222,0.00075,500.0,0.052019767463207245,26.10009998,-6.565672397613525,2514
,,560000,1120,,222,,500.0,,26.10009998,,2514
0.0031315693631768227,-6.078490257263184,567000,1130,40264,222,0.00075,500.0,0.029581218957901,25.015375710000004,1.4095654487609863,2546
0.003155880607664585,-5.5957159996032715,574000,1140,40764,222,0.00075,500.0,0.01806754432618618,37.56247353,-8.000709533691406,2577
0.003355375025421381,-6.755565643310547,581000,1150,41264,222,0.00075,500.0,0.14809291064739227,36.342111579999994,34.93135070800781,2608
,,581000,1160,,222,,500.0,,36.342111579999994,,2608
0.003580070100724697,-6.654207229614258,588000,1170,41764,222,0.00075,500.0,0.13164660334587097,40.577188570000004,-8.314821243286133,2640
0.003334474517032504,-7.226579666137695,595000,1180,42264,222,0.00075,500.0,0.18232303857803345,37.98105230000001,1.5317081212997437,2673
,,595000,1190,,222,,500.0,,37.98105230000001,,2673
0.002954986644908786,-6.9477128982543945,602000,1200,42764,222,0.00075,500.0,0.22956302762031555,39.26409012,1.4468133449554443,2704
0.003051510313525796,-6.691575527191162,609000,1210,43264,222,0.00075,500.0,0.6723201870918274,47.468303350000006,3.876755952835083,2735
0.0037996277678757906,-7.308678150177002,616000,1220,43764,222,0.00075,500.0,0.1683960258960724,46.64951095000001,-2.2064638137817383,2767
,,616000,1230,,222,,500.0,,46.64951095000001,,2767
0.003620939329266548,-6.453763008117676,623000,1240,44264,222,0.00075,500.0,0.4766627252101898,38.90182848,-6.049330711364746,2798
0.003609670326113701,-8.426126480102539,630000,1250,44764,222,0.00075,500.0,0.38077184557914734,52.95603176,-1.8619627952575684,2830
,,630000,1260,,222,,500.0,,52.95603176,,2830
0.0038624017033725977,-7.839797496795654,637000,1270,45264,222,0.00075,500.0,0.13431639969348907,50.36403314999998,-3.94834041595459,2862
0.0037569496780633926,-6.843714714050293,644000,1280,45764,222,0.00075,500.0,0.275518536567688,49.84568699000001,17.431076049804688,2894
0.0042746588587760925,-8.347914695739746,651000,1290,46264,222,0.00075,500.0,0.1460898518562317,53.28856985,-0.22349929809570312,2926
,,651000,1300,,222,,500.0,,53.28856985,,2926
0.004305803216993809,-8.304670333862305,658000,1310,46764,222,0.00075,500.0,6.2360639572143555,60.28938918,-1.6906170845031738,2957
0.0048615294508636,-10.886979103088379,665000,1320,47264,222,0.00075,500.0,0.3972276747226715,66.86789352999999,2.917151927947998,2990
,,665000,1330,,222,,500.0,,66.86789352999999,,2990
0.004008949268609285,-8.5160493850708,672000,1340,47764,222,0.00075,500.0,0.15501292049884796,79.2850357,-1.1704089641571045,3021
0.004712793976068497,-10.343756675720215,679000,1350,48264,222,0.00075,500.0,0.2323259711265564,78.29756696999999,1.5871844291687012,3053
0.004792395047843456,-9.327407836914062,686000,1360,48764,222,0.00075,500.0,0.42209288477897644,114.00041246,0.4939310550689697,3084
,,686000,1370,,222,,500.0,,114.00041246,,3084
0.005040863994508982,-11.127498626708984,693000,1380,49264,222,0.00075,500.0,0.5729761719703674,122.57152151000003,3.031853437423706,3115
0.005815412849187851,-8.155784606933594,700000,1390,49764,222,0.00075,500.0,0.8262755870819092,139.48435336,9.338800430297852,3147
,,700000,1400,,222,,500.0,,139.48435336,,3147
0.005793550051748753,-10.455760955810547,707000,1410,50264,222,0.00075,500.0,1.8956298828125,153.41804345,-4.320468902587891,3180
0.00575657282024622,-10.556291580200195,714000,1420,50764,222,0.00075,500.0,0.6330503225326538,162.13678540000004,1.2076177597045898,3212
0.006152366288006306,-14.271549224853516,721000,1430,51264,222,0.00075,500.0,1.2193584442138672,162.09395375999998,-1.4497485160827637,3245
,,721000,1440,,222,,500.0,,162.09395375999998,,3245
0.006170949432998896,-13.357421875,728000,1450,51764,222,0.00075,500.0,0.6569319367408752,173.25390646,0.12029433250427246,3277
