train/learning_rate,time/fps,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,train/actor_loss,time/time_elapsed,train/critic_loss,time/total_timesteps,time/episodes
0.00075,210,500.0,38264,12.013808260000003,8.717777252197266,0.001399031956680119,-5.4470367431640625,2566,0.010085769928991795,539000,1070
0.00075,209,500.0,38764,11.405456469999999,-7.763505458831787,0.0014194395625963807,-5.478679180145264,2600,0.02059938944876194,546000,1080
,209,500.0,,11.405456469999999,,,,2600,,546000,1090
0.00075,209,500.0,39264,11.774523689999999,2.483907699584961,0.001493642688728869,-5.358240127563477,2633,0.008869672194123268,553000,1100
0.00075,209,500.0,39764,10.920835360000002,-4.6736578941345215,0.0016027403762564063,-5.424102783203125,2667,0.421496719121933,560000,1110
,209,500.0,,10.920835360000002,,,,2667,,560000,1120
0.00075,209,500.0,40264,9.882633989999999,-3.157054901123047,0.0015079013537615538,-5.413654327392578,2700,0.11273548007011414,567000,1130
0.00075,209,500.0,40764,11.907408360000002,11.626351356506348,0.0016946968389675021,-5.572888374328613,2734,0.011711671948432922,574000,1140
0.00075,209,500.0,41264,13.474281940000001,-7.897649765014648,0.0018882276490330696,-5.370949745178223,2768,0.05672239139676094,581000,1150
,209,500.0,,13.474281940000001,,,,2768,,581000,1160
0.00075,209,500.0,41764,10.51478369,-0.009846091270446777,0.0019314356613904238,-5.460797309875488,2802,0.09701775014400482,588000,1170
0.00075,209,500.0,42264,14.230272620000001,-10.248866081237793,0.0019392502726987004,-5.99248743057251,2835,0.024936772882938385,595000,1180
,209,500.0,,14.230272620000001,,,,2835,,595000,1190
0.00075,209,500.0,42764,15.02569694,2.62186861038208,0.0018336715875193477,-6.261481285095215,2868,0.03634226694703102,602000,1200
0.00075,209,500.0,43264,18.204304859999997,-3.5337536334991455,0.0020860699005424976,-5.573182106018066,2901,0.1213579922914505,609000,1210
0.00075,209,500.0,43764,21.96531623,-4.362422943115234,0.0021438130643218756,-5.62832498550415,2935,0.02507578209042549,616000,1220
,209,500.0,,21.96531623,,,,2935,,616000,1230
0.00075,209,500.0,44264,20.477615890000003,1.1711336374282837,0.002098836237564683,-6.25184440612793,2968,0.02129635214805603,623000,1240
0.00075,209,500.0,44764,26.749072309999995,0.896540641784668,0.0020644068717956543,-5.690691947937012,3003,0.022137798368930817,630000,1250
,209,500.0,,26.749072309999995,,,,3003,,630000,1260
0.00075,209,500.0,45264,27.481619799999997,1.8096635341644287,0.0020358075853437185,-5.863012313842773,3037,0.06623334437608719,637000,1270
0.00075,209,500.0,45764,23.831065319999997,-0.6154403686523438,0.0020601695869117975,-6.323492527008057,3070,0.04934500902891159,644000,1280
0.00075,209,500.0,46264,30.82674579,-8.109460830688477,0.0022734024096280336,-6.135584831237793,3104,0.06362946331501007,651000,1290
,209,500.0,,30.82674579,,,,3104,,651000,1300
0.00075,209,500.0,46764,28.584432049999997,-2.899608612060547,0.0023412422742694616,-5.720884323120117,3137,0.24356481432914734,658000,1310
0.00075,209,500.0,47264,26.897912829999996,0.010894358158111572,0.0021350914612412453,-6.667088031768799,3170,0.052345823496580124,665000,1320
,209,500.0,,26.897912829999996,,,,3170,,665000,1330
0.00075,209,500.0,47764,36.33696732,-3.029738664627075,0.0023755445145070553,-6.26032829284668,3202,0.04068184643983841,672000,1340
0.00075,209,500.0,48264,36.16926781,-2.2290878295898438,0.002498134970664978,-7.204012870788574,3235,0.03035978227853775,679000,1350
0.00075,209,500.0,48764,38.29464707,-1.34358549118042,0.0024595139548182487,-6.912525177001953,3267,0.034678906202316284,686000,1360
,209,500.0,,38.29464707,,,,3267,,686000,1370
0.00075,210,500.0,49264,38.34679202,-1.1771492958068848,0.0024073731619864702,-6.385466575622559,3299,0.817368745803833,693000,1380
0.00075,210,500.0,49764,38.822580710000004,-5.4207892417907715,0.0025282041169703007,-7.405506134033203,3332,0.12565317749977112,700000,1390
,210,500.0,,38.822580710000004,,,,3332,,700000,1400
0.00075,210,500.0,50264,39.79711143,-9.710954666137695,0.0025046963710337877,-6.624284744262695,3365,0.044998083263635635,707000,1410
