time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/ent_coef_loss,time/fps,train/n_updates,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/ent_coef,train/actor_loss,train/learning_rate
1553,670,2.57452619,,216,,336000,500.0,,,,
1585,680,2.7156113100000003,4.316999435424805,216,24264,343000,500.0,0.010321068577468395,0.001354740234091878,-9.015178680419922,0.00075
1617,690,3.4220897000000003,7.782802104949951,216,24764,350000,500.0,0.008501306176185608,0.001349852536804974,-8.791378021240234,0.00075
1617,700,3.4220897000000003,,216,,350000,500.0,,,,
1649,710,3.57201618,-10.041512489318848,216,25264,357000,500.0,0.6154065728187561,0.0012181266210973263,-8.603029251098633,0.00075
1681,720,2.9000815,4.511925220489502,216,25764,364000,500.0,0.011627832427620888,0.00123683107085526,-8.446595191955566,0.00075
1712,730,2.9914645,-10.451416969299316,216,26264,371000,500.0,0.2696685194969177,0.0011237384751439095,-8.282276153564453,0.00075
1712,740,2.9914645,,216,,371000,500.0,,,,
1744,750,5.24634258,5.7848639488220215,216,26764,378000,500.0,0.005569612607359886,0.0011509258765727282,-7.993788242340088,0.00075
1777,760,5.470102119999999,-3.8129167556762695,216,27264,385000,500.0,0.0057838307693600655,0.0012629518751055002,-7.9446001052856445,0.00075
1777,770,5.470102119999999,,216,,385000,500.0,,,,
1810,780,10.738349470000001,1.1516931056976318,216,27764,392000,500.0,0.010828656144440174,0.0013078453484922647,-7.700592994689941,0.00075
1843,790,11.26861955,11.918025970458984,216,28264,399000,500.0,0.006320980843156576,0.001163763226941228,-7.439349174499512,0.00075
1876,800,11.8295487,-4.030188083648682,216,28764,406000,500.0,0.011718455702066422,0.0011542757274582982,-7.293880939483643,0.00075
1876,810,11.8295487,,216,,406000,500.0,,,,
1908,820,11.539044800000001,4.133349895477295,216,29264,413000,500.0,0.006772240623831749,0.0012836592504754663,-7.113397121429443,0.00075
1940,830,11.326875840000003,1.4123163223266602,216,29764,420000,500.0,0.008833084255456924,0.0013339112047106028,-7.189506530761719,0.00075
1940,840,11.326875840000003,,216,,420000,500.0,,,,
1972,850,12.519802550000001,-2.804305076599121,216,30264,427000,500.0,0.007554476149380207,0.0012695452896878123,-6.8972930908203125,0.00075
2004,860,12.710970190000003,-1.3202173709869385,216,30764,434000,500.0,0.014010737650096416,0.001345076598227024,-6.989799499511719,0.00075
2037,870,7.876875149999998,-4.406651020050049,216,31264,441000,500.0,0.005579808261245489,0.0013966085389256477,-6.6574225425720215,0.00075
2037,880,7.876875149999998,,216,,441000,500.0,,,,
2069,890,14.632061139999998,4.3471574783325195,216,31764,448000,500.0,0.010578257963061333,0.0012480899458751082,-6.618146896362305,0.00075
2102,900,18.54019063,0.36483657360076904,216,32264,455000,500.0,0.3094256818294525,0.0011821574298664927,-6.381914138793945,0.00075
2102,910,18.54019063,,216,,455000,500.0,,,,
2133,920,19.41746769,-1.6982214450836182,216,32764,462000,500.0,0.032174669206142426,0.001156840706244111,-6.49942684173584,0.00075
2166,930,21.628958979999997,4.686552047729492,216,33264,469000,500.0,2.060110092163086,0.0011598005658015609,-6.555004119873047,0.00075
2198,940,18.760439630000004,2.0798678398132324,216,33764,476000,500.0,0.02204829454421997,0.0013134024338796735,-6.187447547912598,0.00075
2198,950,18.760439630000004,,216,,476000,500.0,,,,
2230,960,20.662523339999996,-2.0231285095214844,216,34264,483000,500.0,0.0059692393988370895,0.0011486681178212166,-6.154996871948242,0.00075
2263,970,21.964798480000002,-0.01645946502685547,216,34764,490000,500.0,0.0386902317404747,0.0012674294412136078,-5.723896026611328,0.00075
2263,980,21.964798480000002,,216,,490000,500.0,,,,
2294,990,15.85405153,-3.736008644104004,216,35264,497000,500.0,0.21547318994998932,0.0011688234517350793,-5.876982688903809,0.00075
2327,1000,11.30425706,4.26788854598999,216,35764,504000,500.0,0.052477531135082245,0.0011886714491993189,-5.696137428283691,0.00075
2359,1010,11.68098175,-2.046804189682007,216,36264,511000,500.0,0.01229932438582182,0.001130558899603784,-5.883078575134277,0.00075
2359,1020,11.68098175,,216,,511000,500.0,,,,
2391,1030,13.863841100000004,-0.9019626379013062,216,36764,518000,500.0,0.17228972911834717,0.0013202731497585773,-5.868034362792969,0.00075
2422,1040,21.88455719,-8.532501220703125,216,37264,525000,500.0,0.018482841551303864,0.0012538725277408957,-5.72359561920166,0.00075
2422,1050,21.88455719,,216,,525000,500.0,,,,
2455,1060,25.46316534,-14.770313262939453,216,37764,532000,500.0,0.00872771441936493,0.0014567982871085405,-5.180161476135254,0.00075
2485,1070,25.022952719999992,-4.711631774902344,216,38264,539000,500.0,0.004137042444199324,0.0012551196850836277,-5.191754341125488,0.00075
2518,1080,27.81818991,-3.4782776832580566,216,38764,546000,500.0,0.05322879180312157,0.0013597928918898106,-5.555619239807129,0.00075
2518,1090,27.81818991,,216,,546000,500.0,,,,
2550,1100,28.3083481,-3.076448917388916,216,39264,553000,500.0,0.16651012003421783,0.0013322681188583374,-5.408716678619385,0.00075
2582,1110,29.307555749999995,-14.223660469055176,216,39764,560000,500.0,0.02230146899819374,0.0012101668398827314,-5.4728546142578125,0.00075
2582,1120,29.307555749999995,,216,,560000,500.0,,,,
2615,1130,30.297610449999997,-2.7364864349365234,216,40264,567000,500.0,0.06250929832458496,0.0013115819310769439,-5.792239189147949,0.00075
2648,1140,25.237459380000004,-0.2344423532485962,216,40764,574000,500.0,0.07634677737951279,0.0012784949503839016,-5.165839195251465,0.00075
2680,1150,18.936382039999998,-0.23218750953674316,216,41264,581000,500.0,0.024020744487643242,0.0014149213675409555,-5.136933326721191,0.00075
2680,1160,18.936382039999998,,216,,581000,500.0,,,,
2713,1170,23.380215180000004,-2.0868337154388428,216,41764,588000,500.0,0.2792513966560364,0.0012479346478357911,-5.203925132751465,0.00075
2746,1180,24.58312105,4.506174087524414,216,42264,595000,500.0,0.02521108277142048,0.0013395408168435097,-4.513402462005615,0.00075
2746,1190,24.58312105,,216,,595000,500.0,,,,
2778,1200,24.85004715,3.69541335105896,216,42764,602000,500.0,0.034925058484077454,0.0013227123999968171,-4.975088119506836,0.00075
2811,1210,28.378808609999997,-5.803147792816162,216,43264,609000,500.0,0.04122244566679001,0.0013350184308364987,-5.181387901306152,0.00075
