train/learning_rate,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/actor_loss,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,train/ent_coef_loss,time/fps,time/episodes,train/n_updates
,500.0,4173,,,0.0,910000,,,218,1820,
0.00075,500.0,4206,0.00017188105266541243,-1.2748855352401733,0.0,917000,0.00011125870514661074,-4.422736644744873,217,1830,65264
0.00075,500.0,4240,0.00016867976228240877,-1.3071913719177246,1.82,924000,0.0001267006155103445,-0.19590413570404053,217,1840,65764
0.00075,500.0,4273,0.00014791067223995924,-1.2347089052200317,2.29,931000,0.00015537742001470178,-3.5079307556152344,217,1850,66264
,500.0,4273,,,2.29,931000,,,217,1860,
0.00075,500.0,4306,0.00014272151747718453,-1.1968905925750732,2.29,938000,0.01322447694838047,16.180644989013672,217,1870,66764
0.00075,500.0,4339,0.00015571208496112376,-1.2042808532714844,2.29,945000,0.00011835715849883854,10.310822486877441,217,1880,67264
,500.0,4339,,,2.29,945000,,,217,1890,
0.00075,500.0,4372,0.0001549432781757787,-1.150846004486084,2.29,952000,0.00017428222054149956,-2.034748077392578,217,1900,67764
0.00075,500.0,4406,0.00014470329915639013,-1.1440503597259521,2.47,959000,0.0001229853369295597,6.230276107788086,217,1910,68264
0.00075,500.0,4439,0.0001439792540622875,-1.0813708305358887,2.47,966000,0.018754824995994568,3.3650245666503906,217,1920,68764
,500.0,4439,,,2.47,966000,,,217,1930,
0.00075,500.0,4473,0.00014831536100246012,-1.1280875205993652,2.46,973000,0.00010314935934729874,1.2849326133728027,217,1940,69264
0.00075,500.0,4507,0.0001777977595338598,-1.1015000343322754,1.99,980000,0.01731763407588005,18.04851531982422,217,1950,69764
,500.0,4507,,,1.99,980000,,,217,1960,
0.00075,500.0,4540,0.00018858673865906894,-1.0393602848052979,1.99,987000,0.00021594503778032959,-2.9112181663513184,217,1970,70264
0.00075,500.0,4572,0.00018487301713321358,-1.0696302652359009,2.99,994000,0.0004601469845511019,-8.31333065032959,217,1980,70764
