train/n_updates,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,train/ent_coef_loss,train/ent_coef,time/fps,time/total_timesteps,train/actor_loss,time/episodes
50264,500.0,1.7169249057769775,0.0,0.00075,3333,1.6096177101135254,0.0006924996851012111,212,707000,-3.3390653133392334,1410
50764,500.0,0.012271488085389137,0.2,0.00075,3364,5.929673671722412,0.0007266583852469921,212,714000,-3.282428741455078,1420
51264,500.0,0.013205522671341896,0.2,0.00075,3397,-7.024639129638672,0.000713552173692733,212,721000,-3.2020621299743652,1430
,500.0,,0.2,,3397,,,212,721000,,1440
51764,500.0,0.009564130567014217,0.2,0.00075,3429,-1.3727717399597168,0.0006846420583315194,212,728000,-3.306394577026367,1450
52264,500.0,0.055962007492780685,0.2,0.00075,3461,-4.878674507141113,0.0006759913521818817,212,735000,-3.287062168121338,1460
,500.0,,0.2,,3461,,,212,735000,,1470
52764,500.0,0.007568791043013334,0.42,0.00075,3494,-4.088047981262207,0.0006267750868573785,212,742000,-3.23266339302063,1480
53264,500.0,0.10016613453626633,3.5,0.00075,3526,9.821695327758789,0.0007067907135933638,212,749000,-3.2507119178771973,1490
53764,500.0,0.005727291107177734,3.5,0.00075,3557,-2.4036056995391846,0.0007733796373941004,212,756000,-3.2068357467651367,1500
,500.0,,3.5,,3557,,,212,756000,,1510
54264,500.0,0.005889318883419037,3.3,0.00075,3591,-4.257829666137695,0.0007505258545279503,212,763000,-2.98246693611145,1520
54764,500.0,0.009738966822624207,3.3,0.00075,3623,5.870822906494141,0.0008081234409473836,212,770000,-2.918025493621826,1530
,500.0,,3.3,,3623,,,212,770000,,1540
55264,500.0,0.016023240983486176,3.3,0.00075,3655,-0.7998569011688232,0.0008175632101483643,212,777000,-3.1876821517944336,1550
55764,500.0,0.05858933925628662,3.3,0.00075,3686,-2.4620473384857178,0.0008578900597058237,212,784000,-3.457993745803833,1560
56264,500.0,0.006099061109125614,3.08,0.00075,3718,10.813400268554688,0.0008792600710876286,212,791000,-3.0615386962890625,1570
,500.0,,3.08,,3718,,,212,791000,,1580
