time/fps,train/n_updates,time/time_elapsed,time/total_timesteps,train/ent_coef,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,time/episodes,train/critic_loss,train/learning_rate
218,55264,3550,777000,0.0004970487207174301,-2.037285804748535,0.85,500.0,22.04698371887207,1550,0.014565679244697094,0.00075
218,55764,3585,784000,0.00042555516120046377,-2.2526321411132812,0.85,500.0,-6.387783527374268,1560,0.03419985994696617,0.00075
218,56264,3619,791000,0.0004669950867537409,-2.0547139644622803,0.85,500.0,2.065279483795166,1570,0.02793010324239731,0.00075
218,,3619,791000,,,0.85,500.0,,1580,,
218,56764,3653,798000,0.00046787504106760025,-2.02942156791687,0.85,500.0,-5.310247898101807,1590,0.001556552480906248,0.00075
218,57264,3688,805000,0.0004599194508045912,-2.0302419662475586,0.0,500.0,-4.3101372718811035,1600,0.0057398248463869095,0.00075
218,,3688,805000,,,0.0,500.0,,1610,,
218,57764,3722,812000,0.0004052087606396526,-2.1287827491760254,0.0,500.0,11.398086547851562,1620,0.004822351969778538,0.00075
217,58264,3757,819000,0.0004455203888937831,-1.9909303188323975,0.0,500.0,-1.6727879047393799,1630,0.004322775639593601,0.00075
217,58764,3792,826000,0.0004746152553707361,-1.9998387098312378,0.0,500.0,4.384705066680908,1640,0.002964651444926858,0.00075
217,,3792,826000,,,0.0,500.0,,1650,,
217,59264,3826,833000,0.0005459077074192464,-1.908558964729309,0.0,500.0,-1.8553019762039185,1660,0.03399554267525673,0.00075
217,59764,3861,840000,0.000628742971457541,-2.120685577392578,0.0,500.0,27.895612716674805,1670,0.03927025571465492,0.00075
217,,3861,840000,,,0.0,500.0,,1680,,
217,60264,3895,847000,0.0005110009224154055,-2.159579277038574,0.0,500.0,5.74762487411499,1690,0.0033275489695370197,0.00075
217,60764,3930,854000,0.0005415285122580826,-2.0595598220825195,0.0,500.0,-2.4302773475646973,1700,0.006419808138161898,0.00075
217,61264,3965,861000,0.0005898260860703886,-1.9765671491622925,0.0,500.0,0.8285624980926514,1710,0.0032559765968471766,0.00075
217,,3965,861000,,,0.0,500.0,,1720,,
217,61764,3999,868000,0.0006151371635496616,-2.08841609954834,0.0,500.0,-8.795836448669434,1730,0.0033134412951767445,0.00075
216,62264,4033,875000,0.0006544495117850602,-1.940918207168579,0.0,500.0,-7.998981952667236,1740,0.021210860460996628,0.00075
216,,4033,875000,,,0.0,500.0,,1750,,
216,62764,4067,882000,0.000732166925445199,-2.1803159713745117,0.0,500.0,0.5968011617660522,1760,0.027198854833841324,0.00075
216,63264,4101,889000,0.0006929427036084235,-2.168668746948242,0.0,500.0,9.153681755065918,1770,0.0067847552709281445,0.00075
216,63764,4136,896000,0.0007305446779355407,-2.224111318588257,0.0,500.0,5.169327259063721,1780,0.005065569654107094,0.00075
216,,4136,896000,,,0.0,500.0,,1790,,
216,64264,4169,903000,0.0007637664675712585,-2.3256995677948,0.0,500.0,8.675878524780273,1800,0.00838878471404314,0.00075
216,64764,4203,910000,0.0008003952680155635,-2.1270692348480225,0.0,500.0,11.97648811340332,1810,0.009667150676250458,0.00075
216,,4203,910000,,,0.0,500.0,,1820,,
216,65264,4238,917000,0.0008534699445590377,-2.1024935245513916,0.0,500.0,-3.082019567489624,1830,0.0119892917573452,0.00075
216,65764,4272,924000,0.0009456254192627966,-2.354865789413452,0.0,500.0,-2.9536032676696777,1840,0.014559691771864891,0.00075
216,66264,4306,931000,0.0007940498762764037,-2.1197752952575684,0.0,500.0,-2.6415467262268066,1850,0.008043243549764156,0.00075
216,,4306,931000,,,0.0,500.0,,1860,,
216,66764,4340,938000,0.0008983800653368235,-2.4148106575012207,0.0,500.0,-2.9973666667938232,1870,0.005947084166109562,0.00075
216,67264,4374,945000,0.0008836927590891719,-2.3826394081115723,0.0,500.0,-1.3193798065185547,1880,0.006597813684493303,0.00075
216,,4374,945000,,,0.0,500.0,,1890,,
215,67764,4408,952000,0.0009636069880798459,-2.1575398445129395,0.0,500.0,-6.862750053405762,1900,0.006266364827752113,0.00075
215,68264,4443,959000,0.000979492673650384,-2.472332715988159,0.0,500.0,-5.879696846008301,1910,0.015562746673822403,0.00075
215,68764,4477,966000,0.0010367771610617638,-2.4882586002349854,2.09,500.0,1.2030084133148193,1920,0.011798534542322159,0.00075
215,,4477,966000,,,2.09,500.0,,1930,,
215,69264,4511,973000,0.0010965137043967843,-2.6303939819335938,2.09,500.0,-6.8119611740112305,1940,0.01589711382985115,0.00075
215,69764,4545,980000,0.0009501139866188169,-2.448009967803955,3.34,500.0,-1.2807731628417969,1950,0.009469226002693176,0.00075
215,,4545,980000,,,3.34,500.0,,1960,,
215,70264,4579,987000,0.0010058069601655006,-2.865349292755127,3.34,500.0,3.76733660697937,1970,0.011106693185865879,0.00075
215,70764,4614,994000,0.0010972073068842292,-2.7513036727905273,3.34,500.0,5.415877342224121,1980,0.008789699524641037,0.00075
