train/actor_loss,rollout/ep_rew_mean,train/ent_coef,train/critic_loss,train/learning_rate,time/fps,train/ent_coef_loss,time/time_elapsed,train/n_updates,time/episodes,time/total_timesteps,rollout/ep_len_mean
-7.864292144775391,66.63513513999999,0.0033283205702900887,0.08661767095327377,0.00075,216,-2.6474170684814453,3715,57264,1600,805000,500.0
,66.63513513999999,,,,216,,3715,,1610,805000,500.0
-7.786629676818848,61.53797411000001,0.0030167188961058855,0.05429660156369209,0.00075,216,-13.501937866210938,3748,57764,1620,812000,500.0
-8.792835235595703,73.14634805,0.003418985288590193,0.0740453377366066,0.00075,216,-2.2335777282714844,3780,58264,1630,819000,500.0
-8.586898803710938,80.81605556,0.0032310020178556442,0.04830751195549965,0.00075,216,-1.0787535905838013,3813,58764,1640,826000,500.0
,80.81605556,,,,216,,3813,,1650,826000,500.0
-9.081132888793945,85.08684853000001,0.003095997730270028,0.2222672700881958,0.00075,216,-12.726531982421875,3844,59264,1660,833000,500.0
-9.177559852600098,116.03541198999997,0.003293651854619384,0.21419167518615723,0.00075,216,2.261894464492798,3877,59764,1670,840000,500.0
,116.03541198999997,,,,216,,3877,,1680,840000,500.0
-9.111159324645996,116.76417126999999,0.00351867382414639,0.14701244235038757,0.00075,216,0.4787135422229767,3909,60264,1690,847000,500.0
-10.103303909301758,127.67623456000001,0.003612235654145479,0.3198491036891937,0.00075,216,0.7325893640518188,3942,60764,1700,854000,500.0
-10.492937088012695,137.60037846000003,0.0035334716085344553,0.2319866418838501,0.00075,216,2.542567014694214,3974,61264,1710,861000,500.0
,137.60037846000003,,,,216,,3974,,1720,861000,500.0
-10.146282196044922,133.63775719,0.0037722205743193626,0.2518901824951172,0.00075,216,-0.10415768623352051,4006,61764,1730,868000,500.0
-10.018332481384277,126.86954057000001,0.0036228669341653585,0.05176442116498947,0.00075,216,-5.822971343994141,4039,62264,1740,875000,500.0
,126.86954057000001,,,,216,,4039,,1750,875000,500.0
-9.776604652404785,121.28298684999999,0.0035743098706007004,0.11112653464078903,0.00075,216,4.883563995361328,4071,62764,1760,882000,500.0
-12.170003890991211,107.84022682000001,0.003654127474874258,0.49253684282302856,0.00075,216,0.10395967960357666,4104,63264,1770,889000,500.0
-10.606189727783203,100.06582252999999,0.004099727608263493,0.2942714989185333,0.00075,216,1.0409382581710815,4136,63764,1780,896000,500.0
,100.06582252999999,,,,216,,4136,,1790,896000,500.0
-9.366026878356934,100.995529,0.003810479771345854,0.1375616490840912,0.00075,216,1.862281322479248,4168,64264,1800,903000,500.0
-9.569169998168945,115.44657912999998,0.004131245892494917,0.2794177234172821,0.00075,216,-0.5667390823364258,4200,64764,1810,910000,500.0
,115.44657912999998,,,,216,,4200,,1820,910000,500.0
-9.973492622375488,116.16282587999999,0.00391691317781806,0.4184020459651947,0.00075,216,2.8856089115142822,4233,65264,1830,917000,500.0
-11.206193923950195,121.71867285000002,0.004072566516697407,0.2929811179637909,0.00075,216,-0.9762446880340576,4265,65764,1840,924000,500.0
-9.929899215698242,128.02317193,0.004323822446167469,0.2621248960494995,0.00075,216,-2.2598328590393066,4299,66264,1850,931000,500.0
,128.02317193,,,,216,,4299,,1860,931000,500.0
