train/ent_coef_loss,rollout/ep_len_mean,train/n_updates,train/learning_rate,rollout/ep_rew_mean,train/ent_coef,train/actor_loss,time/time_elapsed,train/critic_loss,time/total_timesteps,time/episodes,time/fps
0.34220123291015625,500.0,34764,0.00075,0.0,0.0008301541092805564,-5.794054985046387,2195,0.006054963916540146,490000,970,223
,500.0,,,0.0,,,2195,,490000,980,223
11.064355850219727,500.0,35264,0.00075,0.0,0.0008413534378632903,-5.578212738037109,2228,0.003505746368318796,497000,990,223
3.5019447803497314,500.0,35764,0.00075,0.0,0.0008295668521896005,-5.306445598602295,2259,0.004552333150058985,504000,1000,223
2.9209580421447754,500.0,36264,0.00075,0.0,0.0006305432179942727,-5.178254127502441,2291,0.1822601854801178,511000,1010,223
,500.0,,,0.0,,,2291,,511000,1020,223
-3.141103744506836,500.0,36764,0.00075,0.0,0.0006695564370602369,-5.179111003875732,2323,0.003617179812863469,518000,1030,222
3.714031934738159,500.0,37264,0.00075,0.0,0.0006727567524649203,-5.149230003356934,2353,0.0017793397419154644,525000,1040,223
,500.0,,,0.0,,,2353,,525000,1050,223
-5.108635902404785,500.0,37764,0.00075,0.0,0.0006272723549045622,-4.912982940673828,2385,0.20471687614917755,532000,1060,223
6.131802558898926,500.0,38264,0.00075,0.0,0.0005914232460781932,-4.802098751068115,2416,0.002876496408134699,539000,1070,223
-3.6601736545562744,500.0,38764,0.00075,0.0,0.0006005148752592504,-4.761654376983643,2448,0.13783253729343414,546000,1080,222
,500.0,,,0.0,,,2448,,546000,1090,222
-2.6110904216766357,500.0,39264,0.00075,0.0,0.0006091109244152904,-4.555776596069336,2481,0.0024698995985090733,553000,1100,222
3.0093913078308105,500.0,39764,0.00075,0.0,0.0005576721741817892,-4.439152717590332,2514,0.0012383176945149899,560000,1110,222
,500.0,,,0.0,,,2514,,560000,1120,222
-6.552667617797852,500.0,40264,0.00075,0.0,0.0006038652500137687,-4.3802595138549805,2546,0.002028009621426463,567000,1130,222
9.796255111694336,500.0,40764,0.00075,0.0,0.0005141518777236342,-4.165252685546875,2579,0.004914149641990662,574000,1140,222
7.941213607788086,500.0,41264,0.00075,1.68,0.0005739986663684249,-4.119581699371338,2612,0.004189525730907917,581000,1150,222
,500.0,,,1.68,,,2612,,581000,1160,222
14.941723823547363,500.0,41764,0.00075,1.68,0.0005235229036770761,-4.023336410522461,2645,0.15485218167304993,588000,1170,222
-7.723458290100098,500.0,42264,0.00075,1.68,0.0006167693063616753,-3.970378875732422,2678,0.007750921882688999,595000,1180,222
,500.0,,,1.68,,,2678,,595000,1190,222
-0.6567519903182983,500.0,42764,0.00075,1.68,0.0005354842287488282,-3.8698182106018066,2711,0.0014108336763456464,602000,1200,222
-4.211650371551514,500.0,43264,0.00075,1.68,0.000465766410343349,-3.7640838623046875,2744,0.2259940803050995,609000,1210,221
-1.6589937210083008,500.0,43764,0.00075,1.68,0.0004649493785109371,-3.677269458770752,2775,0.0017705661011859775,616000,1220,221
,500.0,,,1.68,,,2775,,616000,1230,221
3.503422260284424,500.0,44264,0.00075,1.68,0.0004172907501924783,-3.555246353149414,2805,0.0033781430684030056,623000,1240,222
13.953275680541992,500.0,44764,0.00075,0.0,0.0004339365113992244,-3.4763174057006836,2837,0.000644350191578269,630000,1250,222
,500.0,,,0.0,,,2837,,630000,1260,222
-15.810035705566406,500.0,45264,0.00075,0.0,0.0005062902928330004,-3.3487348556518555,2869,0.0015764718409627676,637000,1270,221
-0.5816642642021179,500.0,45764,0.00075,0.0,0.0004439599870238453,-3.322843551635742,2901,0.00359762879088521,644000,1280,221
-2.3034427165985107,500.0,46264,0.00075,0.0,0.00043933390406891704,-3.246669292449951,2934,0.0032513970509171486,651000,1290,221
,500.0,,,0.0,,,2934,,651000,1300,221
-7.018394947052002,500.0,46764,0.00075,0.0,0.0004486018151510507,-3.195054054260254,2968,0.1640917956829071,658000,1310,221
5.616443634033203,500.0,47264,0.00075,0.0,0.000426249549491331,-3.1827468872070312,3001,0.001045931363478303,665000,1320,221
,500.0,,,0.0,,,3001,,665000,1330,221
6.428244590759277,500.0,47764,0.00075,0.0,0.0003915161651093513,-3.1604576110839844,3035,0.003486934117972851,672000,1340,221
9.20965576171875,500.0,48264,0.00075,0.0,0.00039638744783587754,-2.9926209449768066,3069,0.008976977318525314,679000,1350,221
1.1139492988586426,500.0,48764,0.00075,0.0,0.00043818613630719483,-2.9673142433166504,3102,0.0007430667756125331,686000,1360,221
,500.0,,,0.0,,,3102,,686000,1370,221
-14.443041801452637,500.0,49264,0.00075,0.0,0.00043685678974725306,-2.9643750190734863,3135,0.0012185920495539904,693000,1380,221
0.1652907133102417,500.0,49764,0.00075,0.0,0.0003964848001487553,-2.832824945449829,3169,0.003015994094312191,700000,1390,220
,500.0,,,0.0,,,3169,,700000,1400,220
2.9508090019226074,500.0,50264,0.00075,0.0,0.00040787423495203257,-2.850064277648926,3202,0.002239611931145191,707000,1410,220
-6.827369689941406,500.0,50764,0.00075,0.0,0.0003699525259435177,-2.586827278137207,3236,0.0008063288405537605,714000,1420,220
0.49208611249923706,500.0,51264,0.00075,0.0,0.0003659141657408327,-2.6101231575012207,3270,0.04841802269220352,721000,1430,220
,500.0,,,0.0,,,3270,,721000,1440,220
1.5940366983413696,500.0,51764,0.00075,0.0,0.0003390177444089204,-2.5330467224121094,3303,0.0008476877119392157,728000,1450,220
15.726594924926758,500.0,52264,0.00075,0.0,0.00032555824145674706,-2.4571094512939453,3337,0.0014272946864366531,735000,1460,220
,500.0,,,0.0,,,3337,,735000,1470,220
2.895193338394165,500.0,52764,0.00075,0.0,0.000340753176715225,-2.4723708629608154,3371,0.0005168677889741957,742000,1480,220
-9.210515975952148,500.0,53264,0.00075,0.0,0.00031333809602074325,-2.3453991413116455,3405,0.14631910622119904,749000,1490,219
-7.2724785804748535,500.0,53764,0.00075,0.0,0.00030647075618617237,-2.367401599884033,3439,0.0005431250901892781,756000,1500,219
,500.0,,,0.0,,,3439,,756000,1510,219
-0.5323858261108398,500.0,54264,0.00075,0.0,0.00028576512704603374,-2.2331509590148926,3473,0.0008574894163757563,763000,1520,219
4.924951553344727,500.0,54764,0.00075,0.0,0.0002701985649764538,-2.1691904067993164,3507,0.0010169681627303362,770000,1530,219
,500.0,,,0.0,,,3507,,770000,1540,219
-6.476063251495361,500.0,55264,0.00075,0.0,0.0002717281167861074,-2.1408801078796387,3540,0.0018694766331464052,777000,1550,219
0.22457194328308105,500.0,55764,0.00075,0.0,0.0003197034529875964,-2.212346076965332,3575,0.0009886340703815222,784000,1560,219
-0.14161956310272217,500.0,56264,0.00075,0.0,0.00026952556800097227,-2.086456298828125,3608,0.0004898742190562189,791000,1570,219
,500.0,,,0.0,,,3608,,791000,1580,219
6.595400810241699,500.0,56764,0.00075,0.0,0.00028320131241343915,-2.0199098587036133,3641,0.0006469481159001589,798000,1590,219
2.9230589866638184,500.0,57264,0.00075,0.0,0.00028069745167158544,-1.993240237236023,3674,0.0005235846620053053,805000,1600,219
,500.0,,,0.0,,,3674,,805000,1610,219
-4.758238315582275,500.0,57764,0.00075,0.0,0.0003002800513058901,-1.950834035873413,3708,0.00035480872611515224,812000,1620,218
-0.4653818607330322,500.0,58264,0.00075,0.0,0.0002189464430557564,-1.8963632583618164,3741,0.00035483285319060087,819000,1630,218
-8.212532997131348,500.0,58764,0.00075,0.0,0.00021084728359710425,-1.8601346015930176,3774,0.0002510222257114947,826000,1640,218
,500.0,,,0.0,,,3774,,826000,1650,218
-11.588667869567871,500.0,59264,0.00075,0.0,0.00024160461907740682,-1.8804097175598145,3808,0.009175139479339123,833000,1660,218
17.66564178466797,500.0,59764,0.00075,0.0,0.00021012664365116507,-1.765695571899414,3841,0.0002758640330284834,840000,1670,218
,500.0,,,0.0,,,3841,,840000,1680,218
-1.8130061626434326,500.0,60264,0.00075,0.0,0.0002114949602400884,-1.7182272672653198,3874,0.00030464353039860725,847000,1690,218
4.358005046844482,500.0,60764,0.00075,0.0,0.0002062309067696333,-1.6381040811538696,3908,0.01599869318306446,854000,1700,218
-10.019430160522461,500.0,61264,0.00075,0.0,0.00020027949358336627,-1.6993186473846436,3941,0.0004277816042304039,861000,1710,218
,500.0,,,0.0,,,3941,,861000,1720,218
4.811934471130371,500.0,61764,0.00075,0.0,0.00022414074919652194,-1.6107994318008423,3975,0.02018268033862114,868000,1730,218
-4.17776346206665,500.0,62264,0.00075,3.37,0.0001976715138880536,-1.5833730697631836,4008,0.00035730580566450953,875000,1740,218
,500.0,,,3.37,,,4008,,875000,1750,218
4.409619331359863,500.0,62764,0.00075,3.37,0.0002088193577947095,-1.504140853881836,4042,0.01748633198440075,882000,1760,218
-7.684682369232178,500.0,63264,0.00075,3.37,0.0002304954396095127,-1.50870680809021,4075,0.00028138229390606284,889000,1770,218
4.925457954406738,500.0,63764,0.00075,3.37,0.0002359565405640751,-1.4503021240234375,4108,0.02005457505583763,896000,1780,218
,500.0,,,3.37,,,4108,,896000,1790,218
-3.085352659225464,500.0,64264,0.00075,3.37,0.00023265376512426883,-1.4232640266418457,4142,0.0002527355100028217,903000,1800,217
-3.586258888244629,500.0,64764,0.00075,3.37,0.00022504139633383602,-1.3843462467193604,4175,0.0003249866422265768,910000,1810,217
,500.0,,,3.37,,,4175,,910000,1820,217
12.280618667602539,500.0,65264,0.00075,3.37,0.00022483158682007343,-1.4348077774047852,4209,0.00843719020485878,917000,1830,217
-0.8069581985473633,500.0,65764,0.00075,0.0,0.00022191446623764932,-1.354423999786377,4242,0.0003202888183295727,924000,1840,217
-8.141424179077148,500.0,66264,0.00075,0.0,0.00020921982650179416,-1.3357429504394531,4275,0.0005716317682527006,931000,1850,217
