train/n_updates,train/ent_coef,train/critic_loss,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,time/total_timesteps,train/learning_rate,rollout/ep_len_mean
,,,210,1160,0.0,2758,,,581000,,500.0
41764,0.0005521673010662198,0.0015941138844937086,210,1170,0.0,2791,-4.049019813537598,8.489603042602539,588000,0.00075,500.0
42264,0.0005733142606914043,0.0011383048258721828,210,1180,0.0,2824,-4.038616180419922,-16.830896377563477,595000,0.00075,500.0
,,,210,1190,0.0,2824,,,595000,,500.0
42764,0.0004978091455996037,0.003460609819740057,210,1200,1.89,2857,-3.879657030105591,-7.2188310623168945,602000,0.00075,500.0
43264,0.0004942353116348386,0.0011011762544512749,210,1210,1.89,2891,-3.8076043128967285,-0.006442546844482422,609000,0.00075,500.0
43764,0.0005576346884481609,0.001581390155479312,210,1220,1.89,2924,-3.6733694076538086,1.971937894821167,616000,0.00075,500.0
,,,210,1230,1.89,2924,,,616000,,500.0
44264,0.00048659826279617846,0.001264813356101513,210,1240,1.89,2957,-3.514535427093506,-0.5429143905639648,623000,0.00075,500.0
44764,0.0005192403914406896,0.17366564273834229,210,1250,1.89,2991,-3.46681809425354,8.37846565246582,630000,0.00075,500.0
,,,210,1260,1.89,2991,,,630000,,500.0
45264,0.000534602499101311,0.008987560868263245,210,1270,1.89,3024,-3.4361062049865723,18.911277770996094,637000,0.00075,500.0
45764,0.0005157464765943587,0.0014641124289482832,210,1280,1.89,3057,-3.2838096618652344,-4.988503932952881,644000,0.00075,500.0
46264,0.0004462658253032714,0.0005504133296199143,210,1290,0.0,3091,-3.337810516357422,1.9752182960510254,651000,0.00075,500.0
,,,210,1300,0.0,3091,,,651000,,500.0
46764,0.0004373157280497253,0.06994882225990295,210,1310,0.0,3123,-3.1460490226745605,-0.8799738883972168,658000,0.00075,500.0
47264,0.0004491628205869347,0.0009145510848611593,210,1320,0.66,3156,-3.117283821105957,10.692625045776367,665000,0.00075,500.0
,,,210,1330,0.66,3156,,,665000,,500.0
47764,0.00040203702519647777,0.0009396945242770016,210,1340,0.66,3189,-3.110673666000366,3.3827335834503174,672000,0.00075,500.0
48264,0.0004672831273637712,0.0005732052959501743,210,1350,0.66,3223,-2.9676029682159424,-4.5411696434021,679000,0.00075,500.0
48764,0.00040764364530332386,0.0007717791013419628,210,1360,0.66,3256,-2.9548897743225098,-0.21103250980377197,686000,0.00075,500.0
,,,210,1370,0.66,3256,,,686000,,500.0
49264,0.00041007986874319613,0.0005692081758752465,210,1380,0.66,3290,-2.8429675102233887,3.738652229309082,693000,0.00075,500.0
49764,0.00038304494228214025,0.0006368155591189861,210,1390,0.66,3322,-2.795470714569092,0.3378884792327881,700000,0.00075,500.0
,,,210,1400,0.66,3323,,,700000,,500.0
50264,0.00039338826900348067,0.0008868244476616383,210,1410,0.66,3356,-2.7032344341278076,-2.6026177406311035,707000,0.00075,500.0
50764,0.00039403067785315216,0.0010050260461866856,210,1420,0.0,3389,-2.7103400230407715,4.407419204711914,714000,0.00075,500.0
51264,0.00036655404255725443,0.0008220118470489979,210,1430,0.0,3423,-2.6034159660339355,11.82585334777832,721000,0.00075,500.0
,,,210,1440,0.0,3423,,,721000,,500.0
51764,0.0003689833974931389,0.0005508296308107674,210,1450,0.0,3457,-2.5614817142486572,-8.79298210144043,728000,0.00075,500.0
52264,0.0004005691152997315,0.0004267642507329583,210,1460,0.0,3491,-2.4887619018554688,7.525720596313477,735000,0.00075,500.0
,,,210,1470,0.0,3491,,,735000,,500.0
52764,0.0003434326499700546,0.0462334081530571,210,1480,0.0,3524,-2.473787546157837,-6.556622505187988,742000,0.00075,500.0
53264,0.00034168927231803536,0.0009191710851155221,210,1490,0.0,3557,-2.3855066299438477,-6.172903060913086,749000,0.00075,500.0
53764,0.0003374489606358111,0.04588032513856888,210,1500,0.0,3591,-2.3177270889282227,-5.043705463409424,756000,0.00075,500.0
,,,210,1510,0.0,3591,,,756000,,500.0
54264,0.0003932376566808671,0.07453703880310059,210,1520,0.0,3625,-2.22928524017334,4.978665828704834,763000,0.00075,500.0
54764,0.0003053615218959749,0.03076508268713951,210,1530,0.0,3659,-2.258141040802002,-0.4359307289123535,770000,0.00075,500.0
,,,210,1540,0.0,3659,,,770000,,500.0
55264,0.0002769667189568281,0.0006849441560916603,210,1550,0.0,3692,-2.2081565856933594,-11.057598114013672,777000,0.00075,500.0
55764,0.00029984794673509896,0.00073052360676229,210,1560,0.0,3725,-2.164525032043457,-9.371521949768066,784000,0.00075,500.0
56264,0.000288265262497589,0.0006719311350025237,210,1570,0.0,3759,-2.1736371517181396,-9.596372604370117,791000,0.00075,500.0
,,,210,1580,0.0,3759,,,791000,,500.0
56764,0.0002806300180964172,0.06416153907775879,210,1590,0.0,3792,-2.032961368560791,-0.905864417552948,798000,0.00075,500.0
57264,0.0002880569372791797,0.0004855000297538936,210,1600,0.0,3827,-2.0029637813568115,-5.681844711303711,805000,0.00075,500.0
,,,210,1610,0.0,3827,,,805000,,500.0
57764,0.0002553167869336903,0.000577448692638427,210,1620,0.0,3861,-1.9884722232818604,-4.557825088500977,812000,0.00075,500.0
58264,0.00026752351550385356,0.008444055914878845,210,1630,0.0,3894,-1.9670706987380981,5.198331832885742,819000,0.00075,500.0
58764,0.00027339087682776153,0.0004949974827468395,210,1640,0.0,3928,-1.8492002487182617,-11.803083419799805,826000,0.00075,500.0
,,,210,1650,0.0,3928,,,826000,,500.0
59264,0.0002526576863601804,0.0007805555360391736,210,1660,0.0,3963,-1.859771728515625,-17.1719970703125,833000,0.00075,500.0
59764,0.00024394325737375766,0.00043535276199691,210,1670,0.0,3996,-1.7970261573791504,11.773012161254883,840000,0.00075,500.0
,,,210,1680,0.0,3996,,,840000,,500.0
60264,0.0002432400651741773,0.00035247986670583487,210,1690,0.0,4030,-1.7949632406234741,0.6349620819091797,847000,0.00075,500.0
60764,0.00027229462284594774,0.0002984043094329536,210,1700,0.0,4064,-1.7450183629989624,12.828983306884766,854000,0.00075,500.0
61264,0.0002557473781052977,0.019075501710176468,210,1710,0.0,4098,-1.700609564781189,-9.296728134155273,861000,0.00075,500.0
,,,210,1720,0.0,4098,,,861000,,500.0
61764,0.00024041860888246447,0.019161555916070938,210,1730,0.0,4132,-1.6762810945510864,-8.87292766571045,868000,0.00075,500.0
62264,0.00025966091197915375,0.007177487947046757,210,1740,0.0,4166,-1.5677027702331543,6.434969902038574,875000,0.00075,500.0
,,,210,1750,0.0,4166,,,875000,,500.0
62764,0.00024234606826212257,0.0004453395667951554,209,1760,0.0,4200,-1.6423779726028442,7.374739646911621,882000,0.00075,500.0
